story_id,end,end_cons,consist,inconsH1,inconsH2,cor1,cor2,likEx
5348daea-021f-4210-92ae-a0a52b576705-1,The date went really well for Toby and Kendra.,yes,B,"The date went well for Toby and Kendra, so they made plans for a second date the following weekend.",The date went horribly so they would not make plans for a second date.,Yes,Yes,Explanation A
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d32,My mother taught me how to make the fruitcake using her recipe.,no,A,The recipe for pumpkin bars is not the same as the recipe for fruitcake.,I made pumpkin bars later in life and they reminded me of my mom.,Yes,Yes,Explanation B
547e9231-6b71-4cd3-8a82-0d597c315a4a-1,James grew up and started a bookstore.,yes,B,James was a young man with a passion for great books. James grew up and started a bookstore. Now his popular bookstore has many book clubs that meet regularly.,James can't be a baker and a bookstore owner at the same time.,Yes,Yes,Explanation A
be0c5b83-6c8d-40a3-8e0e-e2d9f159f419-1,He decided to buy a Christmas Tree and decorate.,yes,A,Shawn was celebrating his first Christmas in his own place. Shawn was able to get it all right.,"Shawn was celebrating his first Christmas in his own place. He decided to buy a Christmas Tree and decorate. It took him a couple of hours, but he was able to get it all right.",Yes,Yes,Explanation B
8cd70d09-7bad-44ce-8681-101645b5e825-1,Francis met a person at the park.,No,B,Francis met a person at the park and now has no longer given up on finding a lover.,Francis has given up on finding a lover and stayed alone for a long time.,Yes,No,Explanation A
76fcb242-5a93-4526-a0d0-1e1daaa6c704-1,Stacey and her mom ate cookies.,no,A,Stacey and her mom ate cookies and then took them to her dad.,Stacey and her mom baked cookies and then took them to her mom.,No,Yes,Explanation B
36a44b73-6d19-4fee-bd61-fc600e874248-1,The jeep broke up and I got stranded all alone.,no,B,I decided to never go off-roading without a friend because I got stranded all alone.,"I was alone, but it was so much fun, so I decided to never go off-roading without a friend.",Yes,No,Explanation A
67041fdb-5cfa-48f4-9ab9-130a7b1be603-1,Susan steered to get out of the way of a dog.,no,B,Susan landed hard on the ground breaking her arm.,Susan stayed on her bike and broke her arm.,Yes,No,Explanation A
59888f4b-4a47-45cc-aaa6-c4a7a7dfe8dc-1,I brought her home a cat because I couldn't afford to buy her a car.,no,A,I couldn't afford to buy her a car so I brought her a cat.,The cat was not a nice gesture because she gave it away.,No,No,Explanation A
18911d29-c93d-4721-aaee-4d395926e7a8-1,Jamie was right behind Gina while they were walking.,no,B,Jamie was on crutches so he couldn't walk very far.,Jamie was right behind Gina while they were walking. Jamie was so far ahead she worried she couldn't catch up with him.,Yes,No,Explanation A
cd2880c6-3e1c-41c5-854d-3b73e2a0ebe21,Kelly got there at the nick of time.,yes,B,Kelly was rushing to get to her flight on time. Kelly got there at the nick of time. Kelly boarded the plane.,Kelly was late for her flight.,Yes,Yes,Explanation A
106f0b8f-a795-4388-9f40-fe7134bc2946-1,Dave tried it on his dog and got bitten.,no,A,The dogs in the video were not Dave's dogs.,Dave watched a video of dogs trying lemons and got bitten.,No,No,Explanation A
bc18f305-4f3b-4296-a5ff-702dd706322c1,Emily's child was fascinated by the lion's roar.,yes,B,The child would not walk closer to the lions because they are dangerous.,The lions were not in the zoo.,Yes,No,Explanation A
a10dc43b-43f8-4702-8286-c20d23b68336-1,Earl could not go to bed early as he enjoyed staying up.,yes,A,Earl could not go to bed early as he enjoyed staying up.,Night jobs are not available during the day.,Yes,Yes,Explanation A
20976b75-b949-4b8a-be45-c733eb7f6539-1,Reggie looked in the fridge and found eggs.,no,B,The eggs were runny because they were not cooked.,The eggs were runny because they were not cooked long enough.,Yes,Yes,Explanation B
bf8b9f77-692d-4873-a7e5-30dec273eb4d1,Fredonia was far from home and May missed her family and boyfriend.,yes,B,May was accepted to college in Fredonia. Fredonia was far from home and May missed her family and boyfriend. She dropped out of school.,May would not drop out of school if she aced all of her classes.,Yes,Yes,Explanation A
95bb42a0-a3f4-462a-8264-329cb40c772d-1,Jill wanted to know what wildlife lived at the ski mountain.,"No, Jill was excited to ski for the first time.",B,Jill was excited to ski for the first time. Jill wanted to know what wildlife lived at the ski mountain. When her dad asked why she said because she thought she'd see bunnies.,Jill was excited to ski for the first time. Jill had heard their rain bunnies on the slopes. When her dad asked why she said because she thought she'd see bunnies.,Yes,Yes,Explanation B
0d976432-4844-4b5a-b9e0-7af3c174848e-1,He saw a horrible crime.,No,B,"The boy was never the same kind, innocent boy again because he saw a horrible crime.","He was never the same kind, innocent boy again.",Yes,Yes,Explanation B
c8ac86f3-0c8d-430f-96a8-d1374c9c37ff-1,Jan took logged all of the inappropriate texts her boss sent her.,no,A,Jan's boss never bothers her again because she logged all of the inappropriate texts her boss sent her.,Jan's boss never bothers her again because Jan's coworker is her wingwoman.,Yes,No,Explanation B
84c4e8a7-a4b4-4ae9-b9a0-9905ea57bc54-1,Walt's son wanted a ball while at the store.,no,B,"The ball was not the ice cream, it was the container.",A ball of twine is not a container for ice cream.,No,No,Explanation A
b751714c-5e34-43ac-8e70-c675bddc613c-1,We went to the hospital.,Yes is the answer.,A,We would not drive away after being hit by lightning.,We would have died if we were hit by lightning.,Yes,Yes,Explanation B
b95911a4-c63d-4ec9-ac5b-37c8b579fcd2-1,Nate was preoccupied with his pregnant girlfriend.,no,A,"Nate was failing a lot of classes, so he was not in remedial math.",Nate was failing a lot of classes. Nate was preoccupied with his pregnant girlfriend. Soon they were married.,No,No,Explanation B
9ea7e913-c437-47e6-9b53-2bf8b324f7e2-1,"She thought she saw a crime taking place in the parking lot, but she was wrong.",no,A,People would not look at her like she was crazy if she was wearing professional clothes and fancy shoes.,"A woman was walking outside of a mall. She thought she saw a crime taking place in the parking lot, but she was wrong. People looked at her like she was crazy.",Yes,Yes,Explanation B
0a14cd78-254b-4adf-9ca2-da0f4cb6328b-1,The cat sprayed Jeff's front step where his jacket was laying.,No,A,Jeff kicked the cat because it was in his yard.,The cat sprayed Jeff's front step where his jacket was laying.,Yes,Yes,Explanation B
f80d9033-bd3c-49c1-bcf1-6ec9e92f9b83-1,Kiki practiced the piano a lot.,yes,B,Kiki practiced the piano a lot. Kiki eventually became very good at the piano!,Kiki could not have become good at the piano if she had not made any YouTube videos.,Yes,No,Explanation A
c230bca2-9977-4ca5-9011-3d56a42b5f88-1,Rick saw a child struggling in the water and walked over to help.,No,A,"Rick was at the local pool. Rick saw a child struggling in the water and walked over to help. The child was so relieved, he cried with gratitude!","The child was so relieved, he cried with gratitude, but Rick was at the local pool.",Yes,No,Explanation A
bf00abac-541b-4853-8e54-f1ef31f5f356-1,Jake spotted a hungry old man on his way.,No,A,Jake was walking home from his college class. He encountered a man who was quite well off on the street. Jake brought a pizza slice to the man who was grateful for the meal.,Jake was walking home from his college class. Jake brought a pizza slice to the man who was grateful for the meal.,No,No,Explanation B
384e9eda-8f62-480d-9988-4efb26155f35-1,The American gave a speech stating his disapproval of the current state of affairs.,no,A,The true American would not drop a lit match on the flag.,The American would not drop a lit match on the flag if he was disapproving of the current state of affairs.,Yes,Yes,Explanation A
ea08ac25-ece5-45f9-bebf-3c02eb6940cf-1,We had fun and he didn't know how to leave.,"No, he didn't know how to leave because he was having fun.",B,We were hiking and it began to rain so we ran back to the car.,He didn't know how to leave because he was having fun.,Yes,No,Explanation B
896a1b17-2dd1-4f0e-9168-7146939f6dcd2,Fred had a history of being violent.,no,B,Fred's coworker who saw him assault his boss called the police.,Fred's boss called him into the office at the propane filling station. Fred told the boss he was fired effective immediately and Fred attacked him.,Yes,No,Explanation A
6e1aafc7-0f31-410c-9040-9bb325450602-1,She worked one day to afford it.,yes,A,Kimmy worked one day to afford the concert.,Kimmy never wore the jewelry she sold to a second hand store.,Yes,Yes,Explanation A
d12c4ece-930d-40d6-85ea-9112993f3e331,It was a party for my eighteenth birthday.,no,B,It was the best day ever because I went swimming with some friends.,"When I was seven years old, I went swimming with some friends. It was a party for my eighteenth birthday. My birthday was the best day ever.",Yes,No,Explanation A
556671c0-e3b5-4407-807b-bc80c524130d-1,Jamie went to a dealership.,yes,B,Jamie drove out of the car lot filled with joy.,Jamie had saved up for the car but she didn't drive out of the car lot.,Yes,No,Explanation A
97b6825e-0468-4ce7-bbe9-6eb331a6009c-1,Amy did not have socks.,No,A,Amy was getting dressed for work and she slipped on the floor.,Amy did not have socks so she could not sweat and stink.,Yes,No,Explanation B
557955c2-8f27-45e0-ae02-498f57755531-1,Susan bought tap shoes.,no,B,Susan bought tap shoes but she never became proficient at tap dancing.,Susan would not be proficient at tap dancing if she bought combat boots.,Yes,Yes,Explanation B
7e8df602-b632-4595-967c-fe982b643f3b-1,Katy decided to run away from her parents.,no,B,Katy never ran away again because she hated her little brother.,Katy never ran away again because she was taken home by her parents.,No,Yes,Explanation B
70629f1f-b629-40b9-8783-ea04509127a0-1,We met a golden retriever puppy and he played with us.,Yes is the answer.,A,I love going to the park even though it rained on us.,We went to the park today. We met a golden retriever puppy and he played with us. I love going to the park!,Yes,Yes,Explanation B
6015f416-2703-4d14-937f-5612841d04452,Joe woke up too early.,no,A,Joe stretched as he rolled over in bed. Joe woke up too early.,Joe hurt himself so he couldn't go back to sleep.,No,No,Explanation A
69742aaa-ec73-4354-9de2-2ee4f8e19ec11,Steve's wife just moved out of the house.,no,B,Steve's wife moved out of the house because she was cheating on him.,Steve's wife just moved into the house so they must be together.,Yes,Yes,Explanation A
c350c383-6703-4c81-b61e-1f403481a42b-1,Lucas tried the peanut and hated it just like he thought he would.,yes,A,Lucas tried a peanut and loved it so he would try something new again.,Lucas tried the peanut and hated it just like he thought he would. Lucas decided that he would never try something new again.,Yes,Yes,Explanation B
66b40ad4-25b1-4c11-b71f-caaf7680df20-1,We decided to work separately.,"No, because if you work separately you can't be married to her.",A,I married a girl that I also work with. We decided to work separately. She agreed that's a good idea and now we are much happier.,I married a girl that I also work with. I told my wife we should work at the same company. She agreed that's a good idea and now we are much happier.,Yes,Yes,Explanation B
530a7f9f-c8b5-4b26-a5f5-0bf05d79d08e-1,There was a bad storm by Trish's garden.,no,A,"Animals eat plants, so Tish observed their behavior.",The garden would not recover from a bad storm.,No,No,Explanation B
c2e81e75-d199-44cc-a0a1-761886e7c0a6-1,Jake was going to go out this weekend even though his car wouldn't start.,no,A,Jake had to cancel his plans because his car wouldn't start.,Jake had to cancel his plans due to car problems.,Yes,Yes,Explanation B
dbd846d5-0a95-4532-9c0a-89d1c1f2df6b-1,Mason became injured while working out.,no,A,Mason was injured while working out but he didn't get athlete's foot.,Athlete's foot is not caused by being caught in a treadmill.,No,No,Explanation B
bede6f42-250a-44ba-8ffe-cf50afb11cd4-1,"Her mom thought of everything she wanted, wrote it down, and gave the list to Miley.",no,A,"Her mom thought of everything she wanted, wrote it down, and gave the list to Miley.","Miley's mother asked her to write a Christmas list. She didn't know how to write. Then, Miley waited and dreamed of what she would get for Christmas.",Yes,No,Explanation B
2b942f74-386c-4e70-acea-cd8c3722370f-1,"Jaiden went outside to play basketball, but felt more nervous.",no,A,"Jaiden's nervousness was not slipping away, it was increasing.",Jaiden was nervous about moving to a new home. As Jaiden was unpacking he was worried about being bored.,No,Yes,Explanation B
631e2896-258e-4ddb-af34-b52757f8415c-1,Rick remembered to sync his smart watch before leaving.,no,B,Rick had a smart watch that stopped working.,Rick had the time to sync his smart watch before leaving.,Yes,Yes,Explanation B
75f6ea49-b31c-4577-aa20-f493e0eba1c8-1,Jason saw an exotic looking poodle walking along the beach. He had to know who she was.,No,A,A poodle is not a person.,Jason went to a beach where there is typically no one. Jason was surprised to see a brown haired girl nearby. She was beautiful and Jason couldn't help but introduce himself.,No,Yes,Explanation B
8d184896-38b8-4cde-91f5-b17cb2390d3d1,Daniel could not turn on the lights at home.,no,B,The lights were on when Daniel got home.,The toilet was working because it was plugged in.,Yes,Yes,Explanation A
8227f76a-cb7a-48eb-8a69-c715e91fb072-1,I added some salt to the food.,no,A,"Pepper is not salty, it is a spice.",If you add salt to food it will become salty.,No,Yes,Explanation B
c0dcff62-44e2-422a-aaef-923beb31b1a3-1,Dan knew he was being pulled over for the loose taillight cover.,no,A,"The plate is not edible, it is a metal plate.",Dan was not chagrined because he accepted the cop's offer of a screwdriver to secure it.,No,No,Explanation A
0baf6a77-c910-45af-b87b-bc8707528c51-1,Allie tore her jeans while washing them.,no,A,Allie was wearing her favorite jeans. Allie tore her jeans while washing them. She had to repair them.,Allie was wearing her favorite jeans. She fell when she was playing tag and ripped them. She had to repair them.,Yes,Yes,Explanation B
75d3389d-55f9-491b-9883-f56bf952c7ba-1,Tim desperately needed the part he ordered for school.,no,A,Tim was waiting for the mail. Tim looked to his sundial. It was Sunday so there would be no mail.,Tim would not get the part he ordered for school because it was Sunday.,Yes,No,Explanation B
16537cae-b01b-499e-ae45-fe35406f9422-1,The chicken was not cooked.,no,B,The chicken was cooked and Ronny drove back to the store.,"Ronny went to a local chicken fast food joint. When Ronny got home, he found that his bag was filled with extra chickens. Ronny drove back to the store and demanded a refund.",No,Yes,Explanation B
32ef5e38-f9bd-4f28-8fbb-cd7771a08e59-1,"One day, a bug jumped out of the pantry.",no,A,A bug jumped out of the pantry and Greta ran crying to her mother.,A boy kicked her toys all over the place and she ran crying to her mother.,Yes,Yes,Explanation A
d606cdaa-515c-4d65-a9f6-947f8d13432a-1,I baked my best brownie recipe for the bake sale.,yes,A,The school could not have sold out if the entire community was at a different sale.,The school sold out of brownies because they were the best.,No,Yes,Explanation A
999d9ada-3ccd-4e1d-a971-4d93789aa4aa-1,But Johnny didn't want to do drugs despite his friends effort.,No,B,Johnny's friend broke his science project. He kicked his friend out and never talked to him again.,Johnny was a very experimental guy but he didn't want to do drugs.,Yes,Yes,Explanation A
0081e6ba-0d00-4091-a7b6-5c0fe7d857b3-1,Sam decorated his house with lots of scary decorations.,yes,B,Sam decorated his house with lots of scary decorations. Everyone loved it and gave him compliments.,Sam made an awesome costume for a mountain.,Yes,No,Explanation A
