ID,Sky,Temperature,Precipitation,Wind,Animal,Place,CSW,CSS,CSS_and,CSS_or,CSS_both,CSP,CSP_simple,CSP_know,CSP_gen,CSP_pizza,CSP_drizzle,CSP_shower,S1,S2,CSA,T5,Falcon
10,overcast,25,19,14,fish,mountains,There is no wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is storm.,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is overcast. There is storm. 19 mm/h. The temperature is 25 °C.,The sky is overcast. There is storm. 19 mm/h. The temperature is 25 °C.,The temperature will be 25 °C. The sky will be overcast. There will be a storm with 19 mm/h.,"
The weather forecast for tomorrow is that it will be stormy on the mountains. The sky will be overcast, and there will be 19 mm/h of rain. The temperature will be around 25 °C."
11,overcast,16,6,12,cat,beach,There is no wind,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 16 °C. There is mist. There is rain 6 mm/h. There is no wind 12 km/h.,The temperature is 16 °C. There is mist. There is rain 6 mm/h. There is no wind 12 km/h.,Tomorrow in/on the beach there is mist. There is rain 6 mm/h. There is no wind 12 km/h.,"
The weather forecast for tomorrow on the beach is for partly cloudy skies with a temperature of 16 °C. There will be a light mist with 6 mm/h of rain, and a gentle 12 km/h breeze."
12,clear,2,0,48,bird,mountains,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 48 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 2 °C.,There is no rain and no snow 0 mm/h. The temperature is 2 °C.,Tomorrow in the mountains there is wind 48 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 2 °C.,"
Tomorrow on the mountains, the weather will be clear with a cool temperature of 2 °C. There will be a gentle breeze blowing at 48 km/h, providing a pleasant day for outdoor activities."
13,overcast,27,5,40,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 40 km/h. There is smog. There is rain 5 mm/h. The temperature is 27 °C.,There is smog. There is rain 5 mm/h. The temperature is 27 °C.,Tomorrow in the city there is smog. There is rain 5 mm/h. The temperature is 27 °C.,"
Tomorrow in the city, there will be wind at 40 km/h. There will be smog. There will be 5 mm/h of rain. The temperature will be 27 °C."
14,overcast,4,0,54,fish,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
15,overcast,-10,0,52,bird,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is snow,There is snow.,There is no snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is strong wind 52 km/h. There is mist. There is no rain and no snow 0 mm/h. The temperature is -10 °C.,There is mist. There is no rain and no snow 0 mm/h. The temperature is -10 °C.,Tomorrow in/on the beach there is strong wind 52 km/h. There is mist. There is no rain and no snow 0 mm/h. The temperature is -10 °C.,"
Tomorrow on the beach, the weather will be windy with strong winds at 52 km/h. There will be mist, but no rain or snow. The temperature will be -10°C."
16,overcast,4,0,27,fish,mountains,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 4 °C. There is wind 27 km/h.,The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 4 °C.,The sky is overcast. The temperature is 4 °C. The wind is 27 km/h.,"
The weather forecast for tomorrow is that the mountains will be overcast with no rain or snow. The temperature will be 4°C, and there will be a gentle breeze blowing at 27 km/h."
17,overcast,4,7,44,fish,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is snow.,There will be snow.,There is snow,There is rain.,There is rain.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
18,overcast,14,18,21,bird,meadows,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is rain,There is rain.,There is no rain and no snow.,There will be rain.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 21 km/h. The sky is overcast. There is rain 18 mm/h. The temperature is 14 °C.,There is rain 18 mm/h. The temperature is 14 °C.,"Tomorrow in the meadows there is wind 21 km/h, the sky is overcast, there is rain 18 mm/h and the temperature is 14 °C.","
Tomorrow, on the meadows, there will be wind at 21 km/h. The sky will be overcast, and there will be rain at 18 mm/h. The temperature will be 14 °C."
19,overcast,24,0,25,fish,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",There is mist. There is no rain and no snow 0 mm/h. The temperature is 24 °C. There is wind 25 km/h.,There is mist. There is no rain and no snow 0 mm/h. The temperature is 24 °C.,Tomorrow in/on the beach there is mist. There is no rain and no snow 0 mm/h. The temperature is 24 °C. There is wind 25 km/h.,"
Tomorrow on the beach, there will be mist, no rain or snow, the temperature will be 24 °C, and there will be a gentle breeze blowing at 25 km/h."
20,cloudy,24,0,22,bird,meadows,There is wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is wind 22 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 24 °C.,There is no rain and no snow 0 mm/h. The temperature is 24 °C.,Tomorrow in the meadows there is wind 22 km/h. The sky is cloudy. There is no rain and no snow 0 mm/h. The temperature is 24 °C.,"
The weather forecast for tomorrow is: Expect a pleasant day on the meadows with a gentle breeze blowing at 22 km/h. The sky will be partly cloudy, providing a mix of sun and shade. There will be no rain or snow, and the temperature will reach a comfortable 24 °C."
21,cloudy,18,4,53,cat,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 18 °C. There is mist. There is rain 4 mm/h. There is strong wind 53 km/h.,The temperature is 18 °C. There is mist. There is rain 4 mm/h. There is strong wind 53 km/h.,Tomorrow in/on the beach there is mist. There is rain 4 mm/h. There is strong wind 53 km/h.,"
The weather forecast for tomorrow on the beach is for partly cloudy skies with a high of 18 °C and a low of 13 °C. There will be a chance of rain with 4 mm/h, accompanied by a strong wind at 53 km/h."
22,cloudy,-5,6,59,cat,meadows,There is strong wind.,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow.,There is snow,"T, S, P, W",The temperature is -5 °C. The sky is cloudy. There is snow 6 mm/h. There is strong wind 59 km/h.,The temperature is -5 °C. The sky is cloudy. There is snow 6 mm/h.,Tomorrow in/on the meadows the temperature will be -5 °C. The sky will be cloudy. There will be snow 6 mm/h. The wind will be strong 59 km/h.,"
Tomorrow on the meadows, the temperature will be -5 °C. The sky will be cloudy, and there will be 6 mm/h of snow. Additionally, there will be strong winds at 59 km/h."
23,clear,26,9,56,cat,mountains,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",There is no rain and no snow 9 mm/h. The temperature is 26 °C. There is strong wind 56 km/h.,There is no rain and no snow 9 mm/h. The temperature is 26 °C.,Tomorrow in the mountains there is no rain and no snow 9 mm/h. The temperature is 26 °C. There is strong wind 56 km/h.,"
Tomorrow on the mountains, there will be no rain or snow, and the temperature will be a comfortable 26 °C. A strong wind will blow at 56 km/h."
24,overcast,11,0,66,bird,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 66 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 11 °C.,There is smog. There is no rain and no snow 0 mm/h. The temperature is 11 °C.,Tomorrow in the city there is strong wind 66 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 11 °C.,"
The weather forecast for tomorrow in the city is for strong wind at 66 km/h, smog, no rain, and no snow. The temperature will be 11 °C."
25,clear,4,0,72,fish,city,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 4 °C. There is strong wind 72 km/h.,There is no rain and no snow 0 mm/h. The temperature is 4 °C.,The temperature will be 4 °C. The wind will be strong.,"
Tomorrow in the city, there will be no rain or snow, with a temperature of 4 °C and strong wind at 72 km/h."
26,cloudy,14,18,1,fish,meadows,There is no wind,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is rain,There is rain.,There is no rain and no snow.,There will be snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is cloudy. There is rain 18 mm/h. The temperature is 14 °C. There is no wind 1 km/h.,The sky is cloudy. There is rain 18 mm/h. The temperature is 14 °C.,Tomorrow in the meadows there is cloudy. There is rain 18 mm/h. The temperature is 14 °C. There is no wind 1 km/h.,"
The weather forecast for tomorrow is cloudy with 18 mm/h of rain. The temperature will be 14 °C, and there will be no wind."
27,clear,23,0,17,bird,meadows,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is no wind 17 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 23 °C.,There is no rain and no snow 0 mm/h. The temperature is 23 °C.,Tomorrow in the meadows there is no wind 17 km/h. The sky is clear. There is no rain and no snow 0 mm/h. The temperature is 23 °C.,"
The weather forecast for tomorrow is: Expect sunny skies and a comfortable temperature of 23°C. There will be no wind at 17 km/h, and the sky will remain clear."
28,cloudy,0,17,76,fish,city,There is strong wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
29,clear,28,1,3,cat,beach,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow,There is rain.,There is rain.,There is shower,"P, S, T, W",There is no rain and no snow 1 mm/h. The temperature is 28 °C. The sky is clear.,There is no rain and no snow 1 mm/h. The temperature is 28 °C. The sky is clear.,Tomorrow in/on the beach the temperature is 28 °C. The sky is clear.,"
The weather forecast for tomorrow on the beach is sunny and warm, with a temperature of 28 °C and no rain or snow. The sky is clear, providing a beautiful view of the beach."
30,overcast,5,0,70,bird,city,There is strong wind.,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 70 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,Tomorrow in the city there is strong wind 70 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,"
Tomorrow in the city, there will be strong wind at 70 km/h. The smog will make the air feel hazy, and there will be no rain or snow. The temperature will be 5 °C."
31,cloudy,-4,0,64,cat,beach,There is strong wind.,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is snow,There is snow,There is no snow.,There is snow,There is snow,There is snow,"T, S, P, W",The temperature is -4 °C. There is mist. There is no rain and no snow 0 mm/h. There is strong wind 64 km/h.,The temperature is -4 °C. There is mist. There is no rain and no snow 0 mm/h. There is strong wind 64 km/h.,Tomorrow in/on the beach there is mist. The temperature is -4 °C. There is no rain and no snow 0 mm/h. There is strong wind 64 km/h.,"
Tomorrow on the beach, the temperature will be -4 °C, there will be mist, no rain or snow, and strong wind at 64 km/h."
32,clear,3,4,59,cat,beach,There is strong wind.,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,No snow.,There is rain.,There is snow,There is snow,"P, S, T, W",There is no rain and no snow 4 mm/h. The temperature is 3 °C. There is strong wind 59 km/h.,There is no rain and no snow 4 mm/h. The temperature is 3 °C.,Tomorrow in/on the beach there is no rain and no snow 4 mm/h. The temperature is 3 °C. There is strong wind 59 km/h.,"
Tomorrow on the beach, there will be no rain or snow, and the temperature will be a comfortable 3 °C. A strong breeze will blow at 59 km/h, making it a great day to enjoy the beach."
33,overcast,17,0,50,bird,mountains,There is strong wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 50 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 17 °C.,There is strong wind 50 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 17 °C.,The temperature will be 17 °C. The wind will be strong. The sky will be overcast.,"
The weather forecast for tomorrow is for the mountains. There will be strong winds at 50 km/h. The sky will be overcast, with no rain or snow. The temperature will be 17 °C."
34,overcast,4,5,47,fish,meadows,There is wind,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is rain,There is rain.,There is no rain and no snow.,There will be snow.,There is snow,There is rain.,There is snow,"S, P, T, W",The sky is overcast. There is rain 5 mm/h. The temperature is 4 °C. There is wind 47 km/h.,The sky is overcast. There is rain 5 mm/h. The temperature is 4 °C.,The sky is overcast. There is rain 5 mm/h. The temperature is 4 °C. The wind is 47 km/h.,"
Tomorrow, on the meadows, the sky will be overcast with rain at a rate of 5 mm/h. The temperature will be 4 °C. Additionally, there will be a gentle breeze blowing at 47 km/h."
35,clear,24,0,12,fish,meadows,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,There is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,Tomorrow in the meadows there is no rain and no snow 0 mm/h. The temperature is 24 °C. The sky is clear.,"'Tomorrow on the meadows, there will be no rain or snow, and the temperature will be 24 °C. The sky will be clear.'"
36,cloudy,-3,19,57,bird,mountains,There is strong wind.,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is snow,There is snow,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is strong wind. 57 km/h. The sky is cloudy. There is storm. 19 mm/h. The temperature is -3 °C.,There is strong wind. 57 km/h. The sky is cloudy. There is storm. 19 mm/h. The temperature is -3 °C.,Tomorrow in the mountains there is strong wind. The sky is cloudy. There is storm. 19 mm/h. The temperature is -3 °C.,"
Tomorrow in the mountains, there will be strong wind at 57 km/h. The sky will be cloudy, and there will be a storm with 19 mm/h. The temperature will be -3 °C."
37,overcast,8,0,5,cat,mountains,There is no wind,The sky is overcast,There is mist,The sky is overcast,There is mist,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 8 °C. The sky is overcast. There is no rain and no snow 0 mm/h. There is no wind 5 km/h.,The temperature is 8 °C. The sky is overcast. There is no rain and no snow 0 mm/h. There is no wind 5 km/h.,The temperature will be 8 °C. The sky will be overcast. There is no rain and no snow 0 mm/h. The wind will be 5 km/h.,"
The weather forecast for tomorrow in the mountains is for 8 °C, overcast skies, no rain or snow, and a calm 5 km/h wind."
38,clear,21,0,10,cat,city,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,No snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is 21 °C. The sky is clear.,There is no rain and no snow 0 mm/h. The temperature is 21 °C. The sky is clear.,Tomorrow in the city there is no rain and no snow 0 mm/h. The temperature is 21 °C. The sky is clear.,"'Tomorrow in the city, there will be no rain or snow, and the temperature will be 21 °C. The sky will be clear.'"
39,overcast,24,0,24,cat,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 24 °C. There is mist. There is no rain and no snow 0 mm/h. There is wind 24 km/h.,The temperature is 24 °C. There is mist. There is no rain and no snow 0 mm/h.,Tomorrow in/on the beach the temperature is 24 °C. There is mist. There is no rain and no snow 0 mm/h. There is wind 24 km/h.,"
The weather forecast for tomorrow on the beach is: Expect sunny skies and a comfortable temperature of 24 °C. There will be a light mist in the air, and the wind will be blowing at a moderate speed of 24 km/h."
40,clear,24,11,31,fish,mountains,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is rain.,No snow,There is rain.,There is rain.,There is rain.,"P, S, T, W",The temperature is 24 °C. The sky is clear. There is no rain and no snow 11 mm/h. There is wind 31 km/h.,The temperature is 24 °C. The sky is clear. There is no rain and no snow 11 mm/h.,The temperature will be 24 °C. The sky will be clear. There will be no rain and no snow. The wind will be 31 km/h.,"
The weather forecast for tomorrow is for the mountains. The temperature will be 24 °C. The sky will be clear, with no rain or snow. There will be a gentle breeze blowing at 31 km/h."
41,cloudy,29,11,73,fish,mountains,There is strong wind.,The sky is cloudy,The sky is cloudy,The sky is cloudy,The sky is cloudy,There is storm.,There is rain.,There is rain.,There will be rain and snow.,There is rain.,There is rain.,There is rain.,"S, P, T, W",The sky is cloudy. There is storm. 11 mm/h. The temperature is 29 °C. There is strong wind. 73 km/h.,The sky is cloudy. There is storm. 11 mm/h. The temperature is 29 °C. There is strong wind. 73 km/h.,Tomorrow in the mountains the sky is cloudy. There is storm. 11 mm/h. The temperature is 29 °C. There is strong wind. 73 km/h.,"
Tomorrow on the mountains, the sky will be cloudy with a chance of storm. There will be 11 mm/h of precipitation. The temperature will be 29 °C. There will be a strong wind with a speed of 73 km/h."
42,clear,-4,0,46,cat,meadows,There is wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is no rain and no snow,There is no rain and no snow,There is snow.,No snow,There is snow,There is snow,There is snow,"P, S, T, W",There is no rain and no snow 0 mm/h. The temperature is -4 °C. The sky is clear. There is wind 46 km/h.,There is no rain and no snow 0 mm/h. The temperature is -4 °C. The sky is clear.,Tomorrow in the meadows there is no rain and no snow 0 mm/h. The temperature is -4 °C. The sky is clear. There is wind 46 km/h.,"
Tomorrow on the meadows, there will be no rain or snow, with a temperature of -4°C and a clear sky. The wind will be blowing at a moderate 46 km/h."
43,overcast,16,0,79,bird,mountains,There is strong wind.,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 79 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,There is strong wind 79 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,Tomorrow in the mountains there is strong wind 79 km/h. The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 16 °C.,"
Tomorrow on the mountains, there will be strong wind at 79 km/h. The sky will be overcast, with no rain or snow. The temperature will be 16 °C."
44,overcast,-5,9,47,bird,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is snow,There is snow,There is snow.,There will be snow.,There is snow,There is snow,There is snow,"W, S, P, T",There is wind 47 km/h. There is mist. There is snow 9 mm/h. The temperature is -5 °C.,There is mist. There is snow 9 mm/h. The temperature is -5 °C.,Tomorrow in/on the beach there is wind 47 km/h. There is mist. There is snow 9 mm/h. The temperature is -5 °C.,"
Tomorrow on the beach, there will be wind at 47 km/h. There will be mist, and 9 mm/h of snow. The temperature will be -5 °C."
45,cloudy,19,13,33,cat,meadows,There is wind,The sky is cloudy,There is mist,The sky is cloudy,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 19 °C. The sky is cloudy. There is rain 13 mm/h. There is wind 33 km/h.,The temperature is 19 °C. The sky is cloudy. There is rain 13 mm/h.,The temperature will be 19 °C. The sky will be cloudy. There will be rain and wind.,"
The weather forecast for tomorrow is: Expect a pleasant day on the meadows, with a temperature of 19 °C and a chance of rain totaling 13 mm. There will also be a gentle breeze blowing at 33 km/h."
