,Sky,Temperature,Precipitation,Wind,Animal,Place
114,cloudy,-2,7,68,bird,meadows
115,cloudy,17,0,64,fish,meadows
116,overcast,29,18,61,fish,mountains
117,clear,21,12,76,bird,city
118,cloudy,21,0,44,fish,meadows
119,overcast,5,18,40,bird,city
120,cloudy,-1,2,55,bird,meadows
121,clear,22,14,70,cat,mountains
122,clear,-9,6,27,bird,mountains
123,cloudy,16,0,42,cat,beach
124,clear,-9,7,64,bird,city
125,clear,-7,10,78,bird,beach
126,clear,-10,17,1,cat,city
127,clear,7,13,39,bird,city
128,clear,12,15,79,fish,meadows
129,clear,-2,13,45,bird,city
130,cloudy,23,17,33,bird,mountains
131,overcast,14,9,68,cat,meadows
132,overcast,15,5,2,cat,mountains
133,clear,13,5,42,bird,city
134,cloudy,-9,0,78,cat,beach
135,cloudy,5,6,4,bird,beach
136,clear,26,2,60,bird,mountains
137,overcast,-9,11,12,fish,beach
138,cloudy,21,0,18,fish,city
139,clear,11,0,16,bird,city
140,clear,27,2,44,fish,city
141,overcast,26,0,3,fish,mountains
142,overcast,27,16,11,fish,city
143,clear,-3,7,10,fish,city
144,overcast,-9,12,9,cat,city
145,overcast,15,0,34,cat,mountains
146,cloudy,17,0,37,bird,city
147,overcast,13,0,64,fish,meadows
148,clear,14,12,5,fish,beach
149,clear,10,0,68,fish,city
150,cloudy,6,8,70,bird,mountains
151,overcast,0,14,50,cat,beach
152,overcast,1,3,50,cat,city
153,overcast,-4,0,50,fish,beach
154,clear,4,4,48,bird,meadows
155,cloudy,24,15,52,fish,meadows
156,clear,25,12,37,bird,beach
157,clear,17,0,58,cat,beach
158,overcast,5,13,45,cat,city
159,overcast,-3,13,3,cat,mountains
160,cloudy,10,0,48,bird,beach
161,clear,16,0,60,bird,city
162,cloudy,2,16,5,fish,beach
163,clear,12,10,46,cat,mountains
164,clear,-7,12,17,fish,mountains
165,clear,11,6,27,bird,meadows
166,overcast,24,0,63,cat,meadows
167,cloudy,18,0,26,cat,city
168,clear,-8,4,29,cat,meadows
169,clear,27,2,35,cat,meadows
170,cloudy,27,11,18,cat,mountains
171,cloudy,1,8,48,fish,city
172,overcast,-3,0,13,fish,city
173,clear,-1,2,39,bird,city
174,overcast,0,17,30,bird,beach
175,overcast,6,1,24,fish,beach
176,cloudy,15,16,43,fish,meadows
177,cloudy,29,0,22,bird,meadows
178,overcast,-9,12,76,cat,city
179,cloudy,0,0,42,cat,meadows
180,overcast,13,0,18,cat,mountains
181,overcast,27,0,69,fish,city
182,clear,9,17,46,cat,meadows
183,cloudy,24,2,20,bird,mountains
184,overcast,17,1,30,cat,beach
185,overcast,6,18,77,cat,mountains
186,clear,-7,4,13,bird,meadows
187,clear,-7,17,6,fish,mountains
188,clear,29,0,67,bird,city
189,clear,23,17,18,cat,mountains
190,clear,9,11,43,cat,mountains
191,cloudy,-1,5,19,cat,city
192,cloudy,27,0,39,bird,city
193,overcast,-5,15,67,cat,meadows
194,clear,15,3,74,cat,beach
195,clear,12,14,56,fish,mountains
196,cloudy,-2,18,19,fish,beach
197,cloudy,14,8,58,bird,meadows
198,clear,-10,16,37,cat,mountains
199,cloudy,-7,17,79,fish,beach
200,clear,10,0,25,bird,beach
201,clear,7,0,7,fish,mountains
202,overcast,12,5,46,cat,mountains
203,cloudy,24,0,1,bird,city
204,cloudy,1,0,49,bird,beach
205,overcast,5,10,79,fish,mountains
206,overcast,13,0,17,fish,beach
207,cloudy,2,0,8,bird,beach
208,overcast,-6,5,13,bird,mountains
209,cloudy,28,0,18,cat,meadows
210,cloudy,-1,13,70,fish,beach
211,clear,11,8,51,cat,city
212,clear,12,0,54,cat,beach
213,overcast,16,9,13,fish,mountains
214,cloudy,27,12,43,fish,city
215,cloudy,-9,0,51,cat,city
216,clear,22,18,27,bird,mountains
217,overcast,20,9,7,bird,city
218,clear,1,16,31,cat,mountains
219,clear,5,13,38,bird,beach
220,overcast,1,19,32,cat,city
221,overcast,0,0,56,fish,meadows
222,clear,3,5,11,bird,meadows
223,cloudy,-2,9,1,fish,city
224,overcast,2,0,6,cat,meadows
225,overcast,17,0,23,fish,city
226,clear,21,0,7,bird,city
227,overcast,1,0,7,cat,mountains
228,overcast,4,0,18,bird,meadows
229,clear,7,0,64,cat,city
230,overcast,15,7,5,bird,city
231,clear,17,0,42,bird,meadows
232,cloudy,23,9,12,bird,beach
233,clear,6,12,18,cat,city
234,overcast,7,0,55,bird,meadows
235,clear,24,4,58,fish,meadows
236,overcast,5,5,44,cat,city
237,cloudy,22,0,51,fish,meadows
238,clear,6,0,14,cat,mountains
239,cloudy,4,0,16,cat,meadows
240,clear,-7,19,52,fish,meadows
241,overcast,17,0,64,cat,beach
242,overcast,18,0,56,cat,beach
243,overcast,-2,0,5,cat,city
244,clear,21,2,78,bird,mountains
245,overcast,15,4,3,cat,mountains
246,clear,3,0,25,bird,city
247,clear,-9,0,51,bird,beach
248,overcast,26,0,65,bird,mountains
249,overcast,27,0,33,cat,mountains
250,clear,28,0,67,cat,beach
251,cloudy,9,19,47,bird,city
252,clear,-6,8,1,bird,meadows
253,cloudy,-6,11,9,cat,city
254,cloudy,1,0,42,cat,meadows
255,cloudy,24,4,9,cat,beach
256,clear,21,12,42,cat,mountains
257,overcast,27,15,65,cat,meadows
258,clear,-8,9,11,bird,meadows
259,clear,17,17,57,bird,beach
260,clear,15,0,45,bird,mountains
261,overcast,7,16,43,fish,meadows
262,clear,20,3,21,fish,meadows
263,clear,6,0,35,fish,meadows
264,clear,17,0,6,fish,mountains
265,overcast,18,0,33,fish,city
266,clear,11,1,67,bird,mountains
267,cloudy,-7,0,4,cat,beach
268,cloudy,-1,9,42,cat,beach
269,cloudy,6,14,75,bird,mountains
270,overcast,-6,0,54,cat,beach
271,cloudy,20,18,36,cat,beach
272,cloudy,11,15,50,fish,meadows
273,cloudy,22,2,46,cat,meadows
274,clear,18,2,3,bird,mountains
275,cloudy,9,18,36,cat,mountains
276,overcast,8,19,78,cat,meadows
277,clear,21,0,49,bird,meadows
278,cloudy,-10,0,37,cat,beach
279,overcast,-10,7,52,bird,mountains
280,overcast,24,5,79,bird,city
281,overcast,25,5,9,fish,mountains
282,cloudy,-4,16,69,cat,mountains
283,clear,26,9,12,bird,city
284,cloudy,8,7,22,bird,meadows
285,cloudy,24,13,44,cat,city
286,cloudy,9,0,15,cat,city
287,clear,22,0,35,bird,city
288,overcast,8,0,76,cat,beach
289,overcast,1,16,55,cat,meadows
290,overcast,26,0,12,fish,beach
291,cloudy,9,0,53,bird,city
292,clear,-7,0,24,bird,mountains
293,clear,29,0,16,fish,beach
294,cloudy,-9,2,66,fish,city
295,clear,8,0,75,cat,city
296,overcast,24,8,61,bird,meadows
297,clear,28,10,10,fish,city
298,overcast,22,7,67,fish,meadows
299,overcast,27,0,26,fish,beach
300,overcast,-6,1,67,bird,meadows
301,cloudy,-6,2,15,cat,beach
302,cloudy,12,16,2,bird,meadows
303,cloudy,-5,0,14,cat,mountains
304,cloudy,28,19,63,fish,city
305,clear,23,6,70,cat,mountains
306,clear,27,10,33,bird,meadows
307,clear,-8,9,49,bird,beach
308,overcast,19,0,49,bird,city
309,overcast,-9,5,62,bird,city
310,cloudy,23,7,50,fish,city
311,clear,24,0,6,cat,city
312,overcast,22,7,58,fish,mountains
313,overcast,-8,0,45,bird,mountains
314,cloudy,6,12,28,bird,mountains
315,overcast,1,4,13,fish,mountains
316,cloudy,27,7,59,bird,beach
317,overcast,14,0,43,cat,beach
318,clear,14,0,7,cat,city
319,cloudy,10,1,52,bird,beach
320,cloudy,4,7,13,bird,city
321,cloudy,17,12,12,cat,city
322,overcast,6,0,65,fish,beach
323,overcast,24,19,65,cat,beach
324,cloudy,16,0,11,cat,mountains
325,overcast,21,14,47,cat,city
326,clear,2,16,44,cat,mountains
327,clear,25,2,54,cat,city
328,cloudy,16,0,41,bird,city
329,overcast,14,2,68,fish,city
330,clear,-6,14,4,fish,beach
331,cloudy,-6,0,30,bird,beach
332,overcast,4,3,73,fish,beach
333,clear,20,4,11,bird,meadows
334,overcast,-1,17,26,fish,mountains
335,clear,19,5,40,fish,city
336,cloudy,27,0,48,cat,mountains
337,cloudy,-6,8,53,cat,city
338,overcast,3,8,77,cat,meadows
339,cloudy,3,12,15,cat,city
340,clear,1,8,9,cat,meadows
341,overcast,27,12,22,fish,mountains
342,cloudy,28,2,18,bird,city
343,cloudy,27,6,36,fish,city
344,cloudy,1,2,19,fish,beach
345,clear,28,0,63,bird,mountains
346,clear,11,19,28,bird,meadows
347,clear,24,5,28,cat,mountains
348,overcast,21,8,42,fish,city
349,cloudy,-8,0,39,cat,city
350,overcast,29,9,11,cat,city
351,cloudy,-8,5,3,bird,mountains
352,clear,-7,3,0,bird,city
353,overcast,19,0,16,cat,mountains
354,overcast,22,10,72,fish,meadows
355,cloudy,27,13,38,fish,mountains
356,clear,18,1,7,cat,city
357,overcast,-7,5,42,fish,city
358,overcast,-2,0,47,bird,city
359,clear,0,11,27,cat,mountains
360,cloudy,5,0,9,bird,city
361,cloudy,15,0,5,fish,beach
362,cloudy,-4,0,7,cat,mountains
363,overcast,21,0,15,cat,beach
364,cloudy,18,0,23,cat,beach
365,clear,16,12,14,cat,city
366,clear,15,18,76,cat,city
367,clear,10,0,12,cat,mountains
368,overcast,1,0,9,fish,meadows
369,cloudy,-3,14,13,bird,meadows
370,clear,15,19,39,cat,city
371,clear,5,0,22,cat,beach
372,overcast,19,18,12,fish,city
373,cloudy,1,3,30,cat,meadows
374,clear,25,6,49,cat,city
375,clear,-5,11,44,fish,mountains
376,overcast,-2,16,65,fish,beach
377,overcast,23,16,8,cat,city
378,cloudy,24,1,25,cat,mountains
379,overcast,0,4,79,cat,beach
380,overcast,12,3,31,bird,beach
381,clear,-6,18,75,bird,city
382,overcast,19,19,29,cat,beach
383,cloudy,19,2,41,cat,mountains
384,overcast,2,17,67,fish,meadows
385,cloudy,4,5,73,fish,beach
386,cloudy,13,3,58,fish,city
387,clear,-5,1,21,bird,mountains
388,cloudy,23,13,56,bird,mountains
389,clear,-8,0,53,fish,city
390,cloudy,19,0,30,cat,beach
391,clear,19,0,1,fish,meadows
392,overcast,-10,15,76,fish,city
393,overcast,14,0,40,bird,beach
394,cloudy,11,18,69,fish,meadows
395,overcast,-5,0,15,cat,beach
396,cloudy,-10,18,55,cat,meadows
397,clear,23,2,59,fish,city
398,clear,2,2,55,cat,beach
399,clear,29,1,19,bird,mountains
400,clear,6,5,23,bird,mountains
401,overcast,16,18,60,bird,city
402,clear,26,0,76,fish,beach
403,clear,16,8,74,cat,meadows
404,overcast,15,14,3,fish,mountains
405,clear,8,0,25,cat,beach
406,clear,18,0,15,cat,city
407,overcast,22,6,2,fish,beach
408,overcast,22,12,33,cat,meadows
409,overcast,5,0,34,fish,beach
410,cloudy,-7,16,79,bird,meadows
411,cloudy,-8,0,3,fish,meadows
412,overcast,0,0,2,fish,mountains
413,clear,8,5,63,bird,mountains
414,cloudy,19,6,59,cat,city
415,overcast,-3,9,72,fish,meadows
416,overcast,14,11,29,cat,mountains
417,overcast,28,0,77,bird,meadows
418,overcast,-10,0,59,cat,city
419,overcast,16,12,4,bird,mountains
420,overcast,22,0,37,bird,beach
421,cloudy,6,15,52,bird,beach
422,cloudy,28,12,74,bird,meadows
423,overcast,-2,0,25,fish,city
424,cloudy,8,19,37,fish,meadows
425,cloudy,25,8,47,bird,mountains
426,overcast,3,7,59,fish,mountains
427,clear,0,11,79,fish,city
428,clear,15,1,67,cat,beach
429,overcast,-4,4,51,fish,beach
430,cloudy,5,11,25,cat,beach
431,clear,-3,0,51,bird,meadows
432,clear,25,0,44,fish,beach
433,clear,6,17,25,fish,beach
434,clear,-2,1,25,fish,meadows
435,cloudy,20,10,29,cat,beach
436,overcast,-7,5,64,bird,beach
437,overcast,28,2,24,fish,city
438,clear,-1,0,47,bird,city
439,clear,11,0,3,fish,meadows
440,overcast,15,0,47,cat,mountains
441,clear,28,14,65,fish,mountains
442,clear,16,0,78,fish,beach
443,clear,3,10,40,fish,mountains
444,clear,16,3,69,bird,meadows
445,clear,25,11,39,fish,city
446,overcast,-1,13,78,fish,mountains
447,clear,16,8,22,cat,meadows
448,cloudy,-6,15,44,bird,city
449,clear,-1,15,73,bird,beach
450,overcast,17,0,2,fish,mountains
451,overcast,13,4,63,cat,beach
452,cloudy,23,19,43,bird,city
453,cloudy,13,4,59,cat,meadows
454,cloudy,-10,9,18,bird,mountains
455,cloudy,13,11,32,cat,meadows
456,overcast,20,0,63,fish,meadows
457,clear,-6,8,5,bird,city
458,clear,0,7,40,cat,city
459,overcast,-10,19,75,cat,city
460,overcast,1,0,13,fish,mountains
461,overcast,0,10,18,bird,beach
462,cloudy,21,11,17,bird,beach
463,clear,3,2,33,fish,meadows
464,overcast,21,0,52,bird,beach
465,clear,7,2,32,fish,beach
466,clear,23,12,12,fish,mountains
467,clear,3,3,53,cat,mountains
468,clear,-5,8,72,bird,beach
469,overcast,8,0,14,cat,city
470,clear,-3,0,36,fish,city
471,clear,-5,10,65,fish,city
472,clear,-6,8,41,cat,mountains
473,clear,6,11,23,bird,beach
474,overcast,1,0,56,bird,mountains
475,clear,23,0,48,cat,beach
476,overcast,15,0,72,bird,city
477,clear,20,0,37,cat,mountains
478,overcast,17,8,42,bird,city
479,clear,-8,9,44,fish,city
480,cloudy,19,1,62,cat,mountains
481,overcast,1,10,7,cat,beach
482,overcast,12,2,15,bird,city
483,cloudy,-10,8,26,fish,meadows
484,cloudy,4,7,57,fish,meadows
485,cloudy,23,0,77,cat,mountains
486,clear,16,12,66,bird,beach
487,cloudy,5,0,64,cat,meadows
488,clear,-1,0,59,cat,meadows
489,clear,13,4,32,cat,beach
490,cloudy,14,0,24,cat,mountains
491,cloudy,27,13,6,bird,city
492,cloudy,27,3,15,bird,meadows
493,clear,-5,15,34,fish,city
494,overcast,13,0,8,cat,city
495,overcast,-3,0,28,bird,city
496,clear,28,0,40,cat,meadows
497,cloudy,1,18,22,fish,mountains
498,clear,-1,17,34,cat,beach
499,cloudy,20,5,57,cat,city
500,clear,-10,14,57,cat,meadows
501,clear,26,0,42,bird,beach
502,clear,6,13,65,fish,mountains
503,cloudy,24,0,1,bird,mountains
504,clear,2,13,32,fish,beach
505,cloudy,28,0,20,fish,city
506,overcast,14,11,26,bird,mountains
507,clear,-2,0,65,bird,meadows
508,cloudy,-1,0,24,bird,city
509,clear,16,3,40,cat,mountains
510,overcast,13,19,40,bird,meadows
511,clear,6,14,21,cat,mountains
512,cloudy,26,4,36,bird,city
513,clear,-2,0,49,fish,mountains
514,cloudy,16,15,57,cat,beach
515,cloudy,-7,0,23,bird,city
516,cloudy,7,4,59,cat,mountains
517,cloudy,-3,15,4,cat,beach
518,overcast,25,6,69,cat,city
519,clear,6,19,17,bird,beach
520,overcast,-8,17,70,fish,mountains
521,overcast,10,17,72,bird,meadows
522,clear,2,2,47,fish,mountains
523,cloudy,2,0,27,cat,beach
524,clear,21,4,41,cat,meadows
525,cloudy,27,12,41,fish,beach
526,cloudy,5,4,3,fish,mountains
527,cloudy,19,2,37,bird,beach
528,clear,8,8,31,fish,mountains
529,cloudy,1,0,50,bird,mountains
530,clear,-7,0,55,fish,mountains
531,clear,16,0,23,cat,meadows
532,cloudy,-5,3,64,fish,beach
533,clear,-3,11,16,cat,city
534,overcast,22,18,74,cat,beach
535,overcast,19,2,16,cat,mountains
536,clear,25,0,59,fish,city
537,cloudy,18,6,12,bird,mountains
538,clear,0,1,51,fish,beach
539,cloudy,-7,0,35,bird,beach
540,overcast,25,2,64,fish,mountains
541,cloudy,27,19,1,cat,mountains
542,cloudy,16,0,57,cat,city
543,clear,-5,9,74,cat,mountains
544,clear,14,6,58,bird,mountains
545,overcast,26,3,27,fish,mountains
546,cloudy,29,0,53,bird,mountains
547,cloudy,22,17,4,cat,city
548,cloudy,-6,0,36,cat,mountains
549,overcast,7,0,4,fish,city
550,cloudy,27,0,27,bird,beach
551,clear,1,0,33,cat,city
552,cloudy,19,0,3,bird,mountains
553,clear,27,0,7,bird,beach
554,cloudy,-5,7,44,cat,meadows
555,clear,-6,4,4,fish,beach
556,cloudy,13,11,29,fish,beach
557,clear,27,15,46,bird,city
558,cloudy,8,0,42,cat,beach
559,cloudy,18,0,57,cat,city
560,overcast,18,0,60,bird,city
561,clear,22,0,33,fish,mountains
562,clear,11,17,70,cat,meadows
563,clear,19,0,45,cat,mountains
564,cloudy,24,8,35,fish,city
565,clear,15,17,11,cat,beach
566,clear,0,0,60,bird,meadows
567,overcast,24,0,64,bird,mountains
568,clear,14,0,5,cat,city
569,clear,-4,3,57,cat,meadows
570,overcast,-2,18,5,fish,city
571,clear,26,17,56,cat,meadows
572,clear,13,7,68,fish,city
573,clear,-9,7,22,fish,meadows
574,overcast,2,0,59,bird,beach
575,clear,15,19,61,bird,city
576,cloudy,20,0,36,bird,mountains
577,clear,8,0,54,bird,beach
578,overcast,25,15,51,bird,city
579,cloudy,-6,19,63,cat,beach
580,cloudy,1,0,3,cat,mountains
581,overcast,7,13,64,fish,beach
582,overcast,6,0,74,bird,beach
583,cloudy,9,7,15,bird,beach
584,cloudy,14,2,12,bird,city
585,cloudy,-9,16,50,bird,meadows
586,cloudy,4,4,17,fish,mountains
587,overcast,22,15,15,bird,meadows
588,overcast,10,11,75,bird,beach
589,clear,18,13,62,fish,meadows
590,clear,-2,14,52,fish,beach
591,cloudy,5,0,5,cat,city
592,clear,3,8,63,bird,city
593,cloudy,28,16,34,bird,city
594,clear,0,8,31,fish,mountains
595,clear,29,0,69,bird,meadows
596,cloudy,29,11,39,bird,mountains
597,cloudy,12,6,12,fish,mountains
598,clear,1,0,31,bird,meadows
599,clear,24,0,32,fish,beach
